 Crustal model (free format) - Shuo Ma
 number of layers:
         400
 Parameters of the layers
 depth of layer top(km)   Vp(km/s)    Vs(km/s)    Rho(g/cm**3)    Qp     Qs
  0.28400E+01  0.51826E+01  0.30849E+01  0.27573E+01  0.10000E+04  0.10000E+04
  0.28600E+01  0.51898E+01  0.30892E+01  0.27578E+01  0.10000E+04  0.10000E+04
  0.28800E+01  0.51970E+01  0.30935E+01  0.27582E+01  0.10000E+04  0.10000E+04
  0.29000E+01  0.52042E+01  0.30977E+01  0.27587E+01  0.10000E+04  0.10000E+04
  0.29200E+01  0.52113E+01  0.31020E+01  0.27591E+01  0.10000E+04  0.10000E+04
  0.29400E+01  0.52183E+01  0.31062E+01  0.27595E+01  0.10000E+04  0.10000E+04
  0.29600E+01  0.52254E+01  0.31103E+01  0.27600E+01  0.10000E+04  0.10000E+04
  0.29800E+01  0.52324E+01  0.31145E+01  0.27604E+01  0.10000E+04  0.10000E+04
  0.30000E+01  0.52393E+01  0.31186E+01  0.27608E+01  0.10000E+04  0.10000E+04
  0.30200E+01  0.52462E+01  0.31228E+01  0.27612E+01  0.10000E+04  0.10000E+04
  0.30400E+01  0.52531E+01  0.31269E+01  0.27617E+01  0.10000E+04  0.10000E+04
  0.30600E+01  0.52600E+01  0.31309E+01  0.27621E+01  0.10000E+04  0.10000E+04
  0.30800E+01  0.52668E+01  0.31350E+01  0.27625E+01  0.10000E+04  0.10000E+04
  0.31000E+01  0.52735E+01  0.31390E+01  0.27629E+01  0.10000E+04  0.10000E+04
  0.31200E+01  0.52803E+01  0.31430E+01  0.27633E+01  0.10000E+04  0.10000E+04
  0.31400E+01  0.52870E+01  0.31470E+01  0.27637E+01  0.10000E+04  0.10000E+04
  0.31600E+01  0.52936E+01  0.31510E+01  0.27641E+01  0.10000E+04  0.10000E+04
  0.31800E+01  0.53003E+01  0.31549E+01  0.27645E+01  0.10000E+04  0.10000E+04
  0.32000E+01  0.53069E+01  0.31589E+01  0.27649E+01  0.10000E+04  0.10000E+04
  0.32200E+01  0.53135E+01  0.31628E+01  0.27653E+01  0.10000E+04  0.10000E+04
  0.32400E+01  0.53200E+01  0.31667E+01  0.27657E+01  0.10000E+04  0.10000E+04
  0.32600E+01  0.53265E+01  0.31705E+01  0.27661E+01  0.10000E+04  0.10000E+04
  0.32800E+01  0.53330E+01  0.31744E+01  0.27665E+01  0.10000E+04  0.10000E+04
  0.33000E+01  0.53394E+01  0.31782E+01  0.27669E+01  0.10000E+04  0.10000E+04
  0.33200E+01  0.53458E+01  0.31820E+01  0.27673E+01  0.10000E+04  0.10000E+04
  0.33400E+01  0.53522E+01  0.31858E+01  0.27677E+01  0.10000E+04  0.10000E+04
  0.33600E+01  0.53585E+01  0.31896E+01  0.27681E+01  0.10000E+04  0.10000E+04
  0.33800E+01  0.53649E+01  0.31934E+01  0.27685E+01  0.10000E+04  0.10000E+04
  0.34000E+01  0.53711E+01  0.31971E+01  0.27689E+01  0.10000E+04  0.10000E+04
  0.34200E+01  0.53774E+01  0.32008E+01  0.27693E+01  0.10000E+04  0.10000E+04
  0.34400E+01  0.53836E+01  0.32045E+01  0.27696E+01  0.10000E+04  0.10000E+04
  0.34600E+01  0.53898E+01  0.32082E+01  0.27700E+01  0.10000E+04  0.10000E+04
  0.34800E+01  0.53960E+01  0.32119E+01  0.27704E+01  0.10000E+04  0.10000E+04
  0.35000E+01  0.54022E+01  0.32156E+01  0.27708E+01  0.10000E+04  0.10000E+04
  0.35200E+01  0.54083E+01  0.32192E+01  0.27711E+01  0.10000E+04  0.10000E+04
  0.35400E+01  0.54144E+01  0.32228E+01  0.27715E+01  0.10000E+04  0.10000E+04
  0.35600E+01  0.54204E+01  0.32264E+01  0.27719E+01  0.10000E+04  0.10000E+04
  0.35800E+01  0.54265E+01  0.32300E+01  0.27723E+01  0.10000E+04  0.10000E+04
  0.36000E+01  0.54325E+01  0.32336E+01  0.27726E+01  0.10000E+04  0.10000E+04
  0.36200E+01  0.54384E+01  0.32372E+01  0.27730E+01  0.10000E+04  0.10000E+04
  0.36400E+01  0.54444E+01  0.32407E+01  0.27734E+01  0.10000E+04  0.10000E+04
  0.36600E+01  0.54503E+01  0.32442E+01  0.27737E+01  0.10000E+04  0.10000E+04
  0.36800E+01  0.54562E+01  0.32478E+01  0.27741E+01  0.10000E+04  0.10000E+04
  0.37000E+01  0.54621E+01  0.32513E+01  0.27744E+01  0.10000E+04  0.10000E+04
  0.37200E+01  0.54680E+01  0.32547E+01  0.27748E+01  0.10000E+04  0.10000E+04
  0.37400E+01  0.54738E+01  0.32582E+01  0.27752E+01  0.10000E+04  0.10000E+04
  0.37600E+01  0.54796E+01  0.32617E+01  0.27755E+01  0.10000E+04  0.10000E+04
  0.37800E+01  0.54854E+01  0.32651E+01  0.27759E+01  0.10000E+04  0.10000E+04
  0.38000E+01  0.54911E+01  0.32685E+01  0.27762E+01  0.10000E+04  0.10000E+04
  0.38200E+01  0.54968E+01  0.32719E+01  0.27766E+01  0.10000E+04  0.10000E+04
  0.38400E+01  0.55025E+01  0.32753E+01  0.27769E+01  0.10000E+04  0.10000E+04
  0.38600E+01  0.55082E+01  0.32787E+01  0.27773E+01  0.10000E+04  0.10000E+04
  0.38800E+01  0.55139E+01  0.32821E+01  0.27776E+01  0.10000E+04  0.10000E+04
  0.39000E+01  0.55195E+01  0.32854E+01  0.27779E+01  0.10000E+04  0.10000E+04
  0.39200E+01  0.55251E+01  0.32888E+01  0.27783E+01  0.10000E+04  0.10000E+04
  0.39400E+01  0.55307E+01  0.32921E+01  0.27786E+01  0.10000E+04  0.10000E+04
  0.39600E+01  0.55363E+01  0.32954E+01  0.27790E+01  0.10000E+04  0.10000E+04
  0.39800E+01  0.55418E+01  0.32987E+01  0.27793E+01  0.10000E+04  0.10000E+04
  0.40000E+01  0.55409E+01  0.32981E+01  0.27793E+01  0.10000E+04  0.10000E+04
  0.40200E+01  0.55432E+01  0.32995E+01  0.27794E+01  0.10000E+04  0.10000E+04
  0.40400E+01  0.55456E+01  0.33010E+01  0.27795E+01  0.10000E+04  0.10000E+04
  0.40600E+01  0.55479E+01  0.33024E+01  0.27797E+01  0.10000E+04  0.10000E+04
  0.40800E+01  0.55503E+01  0.33037E+01  0.27798E+01  0.10000E+04  0.10000E+04
  0.41000E+01  0.55526E+01  0.33051E+01  0.27800E+01  0.10000E+04  0.10000E+04
  0.41200E+01  0.55549E+01  0.33065E+01  0.27801E+01  0.10000E+04  0.10000E+04
  0.41400E+01  0.55573E+01  0.33079E+01  0.27803E+01  0.10000E+04  0.10000E+04
  0.41600E+01  0.55596E+01  0.33093E+01  0.27804E+01  0.10000E+04  0.10000E+04
  0.41800E+01  0.55618E+01  0.33106E+01  0.27805E+01  0.10000E+04  0.10000E+04
  0.42000E+01  0.55641E+01  0.33120E+01  0.27807E+01  0.10000E+04  0.10000E+04
  0.42200E+01  0.55664E+01  0.33133E+01  0.27808E+01  0.10000E+04  0.10000E+04
  0.42400E+01  0.55686E+01  0.33147E+01  0.27810E+01  0.10000E+04  0.10000E+04
  0.42600E+01  0.55709E+01  0.33160E+01  0.27811E+01  0.10000E+04  0.10000E+04
  0.42800E+01  0.55731E+01  0.33173E+01  0.27812E+01  0.10000E+04  0.10000E+04
  0.43000E+01  0.55754E+01  0.33187E+01  0.27814E+01  0.10000E+04  0.10000E+04
  0.43200E+01  0.55776E+01  0.33200E+01  0.27815E+01  0.10000E+04  0.10000E+04
  0.43400E+01  0.55798E+01  0.33213E+01  0.27816E+01  0.10000E+04  0.10000E+04
  0.43600E+01  0.55820E+01  0.33226E+01  0.27818E+01  0.10000E+04  0.10000E+04
  0.43800E+01  0.55842E+01  0.33239E+01  0.27819E+01  0.10000E+04  0.10000E+04
  0.44000E+01  0.55864E+01  0.33252E+01  0.27820E+01  0.10000E+04  0.10000E+04
  0.44200E+01  0.55886E+01  0.33265E+01  0.27822E+01  0.10000E+04  0.10000E+04
  0.44400E+01  0.55907E+01  0.33278E+01  0.27823E+01  0.10000E+04  0.10000E+04
  0.44600E+01  0.55929E+01  0.33291E+01  0.27824E+01  0.10000E+04  0.10000E+04
  0.44800E+01  0.55950E+01  0.33304E+01  0.27826E+01  0.10000E+04  0.10000E+04
  0.45000E+01  0.55972E+01  0.33317E+01  0.27827E+01  0.10000E+04  0.10000E+04
  0.45200E+01  0.55993E+01  0.33329E+01  0.27828E+01  0.10000E+04  0.10000E+04
  0.45400E+01  0.56014E+01  0.33342E+01  0.27830E+01  0.10000E+04  0.10000E+04
  0.45600E+01  0.56035E+01  0.33354E+01  0.27831E+01  0.10000E+04  0.10000E+04
  0.45800E+01  0.56057E+01  0.33367E+01  0.27832E+01  0.10000E+04  0.10000E+04
  0.46000E+01  0.56077E+01  0.33379E+01  0.27833E+01  0.10000E+04  0.10000E+04
  0.46200E+01  0.56098E+01  0.33392E+01  0.27835E+01  0.10000E+04  0.10000E+04
  0.46400E+01  0.56119E+01  0.33404E+01  0.27836E+01  0.10000E+04  0.10000E+04
  0.46600E+01  0.56140E+01  0.33417E+01  0.27837E+01  0.10000E+04  0.10000E+04
  0.46800E+01  0.56161E+01  0.33429E+01  0.27838E+01  0.10000E+04  0.10000E+04
  0.47000E+01  0.56181E+01  0.33441E+01  0.27840E+01  0.10000E+04  0.10000E+04
  0.47200E+01  0.56202E+01  0.33453E+01  0.27841E+01  0.10000E+04  0.10000E+04
  0.47400E+01  0.56222E+01  0.33465E+01  0.27842E+01  0.10000E+04  0.10000E+04
  0.47600E+01  0.56242E+01  0.33478E+01  0.27843E+01  0.10000E+04  0.10000E+04
  0.47800E+01  0.56263E+01  0.33490E+01  0.27845E+01  0.10000E+04  0.10000E+04
  0.48000E+01  0.56283E+01  0.33502E+01  0.27846E+01  0.10000E+04  0.10000E+04
  0.48200E+01  0.56303E+01  0.33514E+01  0.27847E+01  0.10000E+04  0.10000E+04
  0.48400E+01  0.56323E+01  0.33526E+01  0.27848E+01  0.10000E+04  0.10000E+04
  0.48600E+01  0.56343E+01  0.33537E+01  0.27850E+01  0.10000E+04  0.10000E+04
  0.48800E+01  0.56363E+01  0.33549E+01  0.27851E+01  0.10000E+04  0.10000E+04
  0.49000E+01  0.56383E+01  0.33561E+01  0.27852E+01  0.10000E+04  0.10000E+04
  0.49200E+01  0.56402E+01  0.33573E+01  0.27853E+01  0.10000E+04  0.10000E+04
  0.49400E+01  0.56422E+01  0.33584E+01  0.27854E+01  0.10000E+04  0.10000E+04
  0.49600E+01  0.56441E+01  0.33596E+01  0.27856E+01  0.10000E+04  0.10000E+04
  0.49800E+01  0.56461E+01  0.33608E+01  0.27857E+01  0.10000E+04  0.10000E+04
  0.50000E+01  0.56480E+01  0.33619E+01  0.27858E+01  0.10000E+04  0.10000E+04
  0.50200E+01  0.56500E+01  0.33631E+01  0.27859E+01  0.10000E+04  0.10000E+04
  0.50400E+01  0.56519E+01  0.33642E+01  0.27860E+01  0.10000E+04  0.10000E+04
  0.50600E+01  0.56538E+01  0.33654E+01  0.27862E+01  0.10000E+04  0.10000E+04
  0.50800E+01  0.56557E+01  0.33665E+01  0.27863E+01  0.10000E+04  0.10000E+04
  0.51000E+01  0.56577E+01  0.33677E+01  0.27864E+01  0.10000E+04  0.10000E+04
  0.51200E+01  0.56596E+01  0.33688E+01  0.27865E+01  0.10000E+04  0.10000E+04
  0.51400E+01  0.56615E+01  0.33699E+01  0.27866E+01  0.10000E+04  0.10000E+04
  0.51600E+01  0.56633E+01  0.33710E+01  0.27867E+01  0.10000E+04  0.10000E+04
  0.51800E+01  0.56652E+01  0.33722E+01  0.27869E+01  0.10000E+04  0.10000E+04
  0.52000E+01  0.56671E+01  0.33733E+01  0.27870E+01  0.10000E+04  0.10000E+04
  0.52200E+01  0.56690E+01  0.33744E+01  0.27871E+01  0.10000E+04  0.10000E+04
  0.52400E+01  0.56708E+01  0.33755E+01  0.27872E+01  0.10000E+04  0.10000E+04
  0.52600E+01  0.56727E+01  0.33766E+01  0.27873E+01  0.10000E+04  0.10000E+04
  0.52800E+01  0.56745E+01  0.33777E+01  0.27874E+01  0.10000E+04  0.10000E+04
  0.53000E+01  0.56764E+01  0.33788E+01  0.27875E+01  0.10000E+04  0.10000E+04
  0.53200E+01  0.56782E+01  0.33799E+01  0.27876E+01  0.10000E+04  0.10000E+04
  0.53400E+01  0.56800E+01  0.33810E+01  0.27878E+01  0.10000E+04  0.10000E+04
  0.53600E+01  0.56819E+01  0.33821E+01  0.27879E+01  0.10000E+04  0.10000E+04
  0.53800E+01  0.56837E+01  0.33831E+01  0.27880E+01  0.10000E+04  0.10000E+04
  0.54000E+01  0.56855E+01  0.33842E+01  0.27881E+01  0.10000E+04  0.10000E+04
  0.54200E+01  0.56873E+01  0.33853E+01  0.27882E+01  0.10000E+04  0.10000E+04
  0.54400E+01  0.56891E+01  0.33864E+01  0.27883E+01  0.10000E+04  0.10000E+04
  0.54600E+01  0.56909E+01  0.33874E+01  0.27884E+01  0.10000E+04  0.10000E+04
  0.54800E+01  0.56927E+01  0.33885E+01  0.27885E+01  0.10000E+04  0.10000E+04
  0.55000E+01  0.56945E+01  0.33896E+01  0.27886E+01  0.10000E+04  0.10000E+04
  0.55200E+01  0.56962E+01  0.33906E+01  0.27888E+01  0.10000E+04  0.10000E+04
  0.55400E+01  0.56980E+01  0.33917E+01  0.27889E+01  0.10000E+04  0.10000E+04
